Description	GTEX-1117F-0226-SM-5GZZ7	GTEX-111CU-1826-SM-5GZYN	GTEX-111FC-0226-SM-5N9B8	GTEX-111VG-2326-SM-5N9BK	GTEX-111YS-2426-SM-5GZZQ	GTEX-1122O-2026-SM-5NQ91	GTEX-1128S-2126-SM-5H12U	GTEX-113IC-0226-SM-5HL5C	GTEX-117YX-2226-SM-5EGJJ	GTEX-11DXW-0326-SM-5H11W	GTEX-11DXX-2326-SM-5Q5A2	GTEX-11DZ1-0226-SM-5A5KF	GTEX-11EI6-0226-SM-5EQ64	GTEX-11EM3-2326-SM-5H12B	GTEX-11EMC-2826-SM-5PNY6	GTEX-11EQ8-0226-SM-5EQ5G	GTEX-11EQ9-2526-SM-5HL66	GTEX-11GS4-2626-SM-5A5LD	GTEX-11GSO-2326-SM-5A5LX	GTEX-11H98-0226-SM-5NQ89	GTEX-11I78-2626-SM-5Q5AI	GTEX-11LCK-1126-SM-5A5KC	GTEX-11O72-0226-SM-59869	GTEX-11OF3-2426-SM-5Q5AS	GTEX-11ONC-2526-SM-5986W	GTEX-11P7K-2026-SM-5GU74	GTEX-11P81-2426-SM-5GU65	GTEX-11P82-1726-SM-5Q5AT	GTEX-11PRG-0626-SM-5BC56	GTEX-11TT1-2426-SM-5EQMK	GTEX-11TTK-0226-SM-5N9EC	GTEX-11TUW-2626-SM-5EQKZ	GTEX-11UD1-0226-SM-5EQKL	GTEX-11UD2-0126-SM-5EQL2	GTEX-11WQC-2426-SM-5EQKQ	GTEX-11XUK-2126-SM-5EQLR	GTEX-11ZTS-0226-SM-5EQKD	GTEX-11ZTT-2526-SM-5EQM9	GTEX-11ZU8-2426-SM-5EQMV	GTEX-11ZUS-0726-SM-59886	GTEX-11ZVC-2626-SM-5FQTA	GTEX-1211K-2226-SM-5FQU6	GTEX-12126-0426-SM-5Q5AP	GTEX-1212Z-2426-SM-5EQ5D	GTEX-12584-0226-SM-5EQL5	GTEX-12696-2526-SM-5EQLN	GTEX-1269C-2726-SM-5EGJ4	GTEX-12C56-1626-SM-5FQUO
DDX11L1	0.1082	0.1158	0.02104	0.02329	0	0.04641	0.03076	0.09358	0.121	0.02859	0	0.02373	0.08024	0.02231	0.0189	0.09309	0.07772	0.1596	0.1173	0.07969	0.07763	0.02062	0.07831	0.05159	0.1181	0.04187	0.02543	0.022	0.06772	0.02949	0.07889	0.1008	0.08124	0.05783	0.08361	0.02573	0	0.06433	0.02865	0.05269	0.09615	0	0.06105	0.07266	0.04441	0.0594	0.09373	0.04988
WASH7P	21.4	11.03	16.75	8.172	7.658	9.372	10.08	13.56	9.889	9.121	6.698	9.835	13.1	8.904	16.59	15.1	9.838	11.25	9.437	10.68	11.32	6.816	12.1	16.24	10.91	17.66	9.952	10.69	12.4	6.993	14.58	9.178	28.63	14.66	11.55	7.838	11.57	11.33	10.44	14.3	13.62	9.304	15.15	9.944	12.56	7.539	12.35	10.4
MIR1302-11	0.1602	0.06433	0.04674	0	0.05864	0	0.1367	0.2079	0.05375	0.06351	0.05078	0	0	0.04957	0	0.06893	0	0	0.06512	0.118	0.1724	0.0458	0.174	0.1146	0.1574	0.1395	0.0565	0.04887	0	0.06551	0.1314	0	0.1203	0.1285	0.1238	0.05716	0.05912	0.09526	0	0.05852	0.1068	0.1449	0.0678	0	0.04933	0.04399	0.05205	0.02216
FAM138A	0.05045	0	0.02945	0.0326	0	0	0.0861	0.131	0.06773	0	0.03199	0.06642	0	0.06246	0.02645	0.08686	0	0.07443	0.08205	0	0	0	0.03653	0.1083	0.09918	0.0879	0	0	0.04738	0.04128	0.08281	0	0	0	0.03901	0	0.03724	0.03001	0.0401	0.03687	0.1009	0.1369	0.04272	0.06779	0.03108	0.08314	0.06559	0.02792
OR4G4P	0	0	0	0	0	0	0.1108	0.05619	0	0	0	0	0	0.0402	0.03405	0	0	0.04791	0.05281	0	0	0.03714	0	0	0	0	0.04582	0	0.122	0	0.03553	0	0	0.05209	0.05021	0	0.04794	0	0.05162	0.04746	0.08661	0.1175	0.05499	0.04363	0	0	0.1266	0.03594
OR4G11P	0	0.1051	0.07637	0	0	0.04212	0	0	0	0.05189	0	0	0.04854	0.0405	0.0343	0.1126	0	0.1448	0	0.04821	0	0	0.04738	0.04682	0	0.114	0	0.03992	0.06145	0	0.03579	0	0	0	0.05058	0.0467	0	0.03892	0.052	0.1434	0.1309	0	0.0554	0.08791	0.08061	0	0.04253	0.0181
OR4F5	0	0	0	0	0.09811	0	0	0	0.04497	0.05313	0	0	0.09941	0.04147	0.03512	0	0	0	0.2724	0	0	0.1916	0	0	0.0878	0.03891	0.1418	0.08176	0.1258	0	0.3299	0	0.151	0.05374	0.0518	0.04782	0.04946	0.03985	0	0.09792	0.04467	0	0	0	0.2063	0.1472	0.0871	0.03708
RP11-34P13.7	0.2392	0.07206	0.2094	0.2318	0.04379	0.07699	0.2551	0.2328	0.0602	0.332	0.1706	0.1181	0.08873	0.01851	0.1881	0.2316	0.3223	0.1764	0.3161	0.1322	0.1073	0.0855	0	0.4921	0.1959	0.3994	0.1898	0.05473	0.2527	0.1223	0.2781	0.04179	0.06738	0.2878	0.1849	0.1921	0.1545	0.3023	0.07129	0.06555	0.01994	0.1893	0.2531	0.2812	0.03684	0.2628	0.1749	0.06619
CICP27	0.1869	0.3959	0.08927	0.1977	0.06222	0.0547	0.1015	0.05882	0.1255	0.2426	0.1185	0.1342	0.1135	0.09467	0.1604	0.2048	0.1954	0.1128	0.09673	0.03757	0.1098	0.1361	0.01231	0.08512	0.07795	0.148	0.1439	0.09333	0.2873	0.09732	0.1952	0.1663	0.3064	0.1363	0.1577	0.1577	0.1505	0.2123	0.08104	0.1615	0.238	0.1076	0.1007	0.1484	0.1047	0.08401	0.1988	0.09875
AL627309.1	9.467	8.643	2.386	31.61	5.961	6.371	15.85	1.613	2.19	2.986	12.69	8.357	2.421	4.329	11.04	7.81	4.149	5.37	23.97	4.598	8.803	7.404	10.8	5.466	4.676	5.019	7.362	2.298	5.524	8.479	3.414	13.86	20.01	9.291	2.218	6.681	6.698	7.849	11.14	11.09	7.58	5.45	1.093	5.18	5.28	6.323	10.12	3.106
RP11-34P13.15	0	1.063	0.386	0.4273	0.4842	0.4257	1.129	0	0	0.5244	0	0	0.4906	1.228	1.04	2.846	0	0.4878	2.151	1.462	0	0.7564	0.9577	0	2.167	0.384	1.866	0.8071	1.242	0	0.7236	0	1.49	2.122	0	0.472	0.9764	0	0.5256	0.9666	0	1.795	0	1.777	0	0.3632	0	0.366
RP11-34P13.14	0.952	0	0	1.968	0.5577	1.103	1.462	0	0	0.302	1.932	1.253	0.1413	0.9429	1.198	0	0	0.1405	4.18	0.4209	0.1367	0.98	2.758	0	0.2495	0	1.209	0.3486	0	0.9346	0.5208	1.331	0.4291	0.4582	0.5888	0.2718	0.2811	0.5663	0.3027	0.2783	1.143	1.378	0.1612	0.2558	0.821	0.9413	0.3713	0.3688
RP11-34P13.13	0.5659	0.2472	0.1391	0.6671	0.2254	0.441	0.881	0.1546	0.4331	0.1417	0.7302	0.2222	0.1694	0.5039	0.7599	0.5811	0.2426	0.4101	0.5409	0.1829	0.171	0.3861	0.2157	0.1705	0.4684	0.3344	1.093	0.109	0.1026	0.3005	0.1575	0.666	0.3281	0.3185	0.1996	0.2764	0.2125	0.2244	0.2367	0.4716	0.5825	0.2784	0.1429	0.2068	0.1468	0.3654	0.3807	0.1264
RNU6-1100P	0	0	0	0	0	0	0	0	0	0.469	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4232	0	0	0	0	0.5554	0	0	0	0	0	0	0	0	0.3517	0	0.4322	0	0	0	0	0	0	0.3844	0
RP11-34P13.9	0.1346	0	0	0.08696	0.09854	0	0	0	0	0.1067	0.08533	0	0	0	0	0	0.09671	0	0	0.09916	0	0	0	0	0.08819	0	0	0	0.1264	0.2202	0	0	0.2022	0.2159	0	0.1921	0.09935	0.08005	0	0	0.08973	0	0	0	0	0	0.08748	0
AP006222.2	0.9219	1.609	1.738	0.08019	1.298	0.525	0.3782	0.4448	0.5236	3.599	0.3934	1.774	1.039	1.745	4.749	0.6715	2.102	1.622	5.666	3.057	1.362	2.383	0.3595	1.827	1.046	3.542	3.54	1.071	1.898	2.103	0.7662	1.004	1.571	2.346	4.18	0.5315	1.767	0.6749	1.536	2.306	1.643	1.267	2.582	1.274	1.19	1.831	6.085	0.2453
